Company Name,Company url,ROP,Title,TN,Meta,MN,LVTN,LVDN,Links,Word,DCNAIH,RatioWL,RV
alstom,alstom.com,1,1,1,1,1,34,4,245,2451,1,10.00408163,1
altran,capgemini-engineering.com,1,0,0,0,0,66,22,146,0,1,0,1
amazon,amazon.in,1,1,1,4,4,92,4,245,1110,1,4.530612245,1
amazon web services,aws.amazon.com,1,1,1,0,0.33,35,17,464,4584,1,9.879310345,1
amdocs,amdocs.com,1,1,1,1,1,46,4,86,509,1,5.918604651,1
american airlines,aa.com,1,1,1,0,0,35,16,75,0,1,0,1
american center of krasnodar,facebook.com Americ,1,0,0,1,0.33,42,25,,,0,0,0
american express,americanexpress.com,1,1,1,1,1,44,5,444,2061,1,4.641891892,1
american family insurance,amfam.com,1,0,0,1,0.66,26,20,293,1852,0,6.320819113,1
american red cross,redcross.org,1,1,1,2,0.66,37,14,183,956,1,5.224043716,1
"ameriprise financial services, inc.",ameriprise.com,1,1,1,1,0.25,49,25,288,1581,1,5.489583333,1
amgen,amgen.com,1,1,1,1,1,39,4,368,1175,1,3.192934783,1
amway,amway.in,1,1,1,1,1,87,3,208,201,1,0.9663461538,1
anheuser-busch inbev,ab-inbev.com,1,1,1,1,0.33,16,17,212,870,1,4.103773585,1
"anthem, inc.",antheminc.com,1,0,0,1,0.5,10,5,0,0,0,0,1
anz,anz.co.nz,1,2,2,3,3,166,7,166,1354,1,8.156626506,1
aon,aon.com,1,1,1,2,2,62,4,70,600,1,8.571428571,1
apple,apple.com,1,1,1,2,2,2,4,136,607,1,4.463235294,1
applied materials,appliedmaterials.com,1,1,1,1,0.5,36,5,191,530,1,2.77486911,1
aramark,aramark.com,1,1,1,1,1,41,4,157,767,1,4.885350318,1
arbonne international llc,arbonne.com,1,1,1,1,0.5,18,18,2,20,1,10,1
arcadis,arcadis.com,1,1,1,2,2,2,5,23,382,1,16.60869565,1
arcelormittal,corporate.arcelormittal.com,1,1,1,2,2,10,14,0,2,1,0,1
arizona state university,asu.edu,1,1,1,1,0.33,45,21,117,684,1,5.846153846,1
army national guard,nationalguard.com,1,1,1,1,0.33,4,10,2,91,1,45.5,1
arup,arup.com,1,1,1,1,1,64,4,365,1244,1,3.408219178,1
asda,asda.com,1,1,1,1,1,43,4,0,17,1,0,1
astrazeneca,astrazeneca.com,1,1,1,2,2,44,4,123,0,1,0,1
at&t,att.com,1,1,1,4,4,61,5,58,913,1,15.74137931,1
atkins,atkinsglobal.com,1,1,1,1,0.5,12,10,96,839,1,8.739583333,1
atlas copco,atlascopco.com,1,1,1,0,0,28,5,0,0,1,0,1
atos,atos.net,1,1,1,1,1,9,5,364,2015,1,5.535714286,1
auchan,auchan.fr,1,1,1,4,4,44,3,226,1108,1,4.902654867,1
aucune,m.interglot.com,1,0,0,5,5,44,15,0,0,0,0,1
aurora health care,aurorahealthcare.org,1,1,1,0,0,11,6,142,2433,1,17.13380282,1
autônoma,amazon.in,1,0,0,0,0,92,8,0,0,0,0,1
autonomo,linkedin.com,1,0,0,1,1,23,10,0,0,0,0,0
aviva,avivaindia.com,1,1,1,1,1,6,9,377,5842,1,15.49602122,1
avon,avon.co.in,1,1,1,3,3,84,6,320,1119,1,3.496875,1
axa,axa.com,1,1,1,1,1,9,4,23,248,1,10.7826087,1
axis bank,axisbank.com,1,1,1,0,0,81,5,497,0,1,0,1
"ayatama energi, trisco nusantara",good.com,1,1,1,2,0.5,36,30,212,1043,1,4.919811321,0
bae systems,baesystems.com,1,1,1,1,0.5,25,6,259,0,1,0,1
baker hughes,bakerhughes.com,1,1,1,1,0.5,10,5,1069,3152,1,2.948550047,1
banco do brasil,bb.com.br,1,0,0,0,0,16,11,1,5,0,5,1
banco santander,bancosantander.es,1,1,1,1,0.5,18,5,219,1683,1,7.684931507,1
bank of america,bankofamerica.com,1,2,2,1,0.33,55,6,188,2362,1,12.56382979,1
bank of america merrill lynch,bofaml.com,1,2,2,3,1,48,21,100,882,1,8.82,1
banner health,bannerhealth.com,1,1,1,2,1,116,5,83,831,1,10.01204819,1
barclays,home.barclays,1,2,2,2,2,36,6,23,831,1,36.13043478,1
barclays investment bank,investmentbank.barclays.com,1,1,1,1,0.5,21,23,223,2289,1,10.26457399,1
basf,basf.com,1,1,1,1,1,19,4,53,259,1,4.886792453,1
baxter international inc.,baxter.com,1,1,1,0,0,44,19,141,1371,1,9.723404255,1
bayer,bayer.com,1,1,1,0,0,21,5,282,282,1,1,1
bayer healthcare,bayer.com,1,1,1,1,0.5,19,10,282,282,1,1,1
bb&t,bbt.com,1,1,1,1,1,95,5,0,0,1,0,1
bbc,bbc.com,1,1,1,1,1,13,4,271,1643,1,6.062730627,1
bbva,bbva.com,1,1,1,3,3,42,4,698,2326,1,3.332378223,1
bd,bd.com,1,1,1,1,1,48,5,255,916,1,3.592156863,1
bechtel corporation,bechtel.com,1,1,1,2,2,47,11,213,816,1,3.830985915,1
bell,bell.ca,1,1,1,1,1,81,3,325,0,1,0,1
best buy,bestbuy.com,1,1,1,2,2,62,5,0,0,1,0,1
bhp billiton,bhp.com,1,0,0,0,0,13,9,0,0,0,0,1
"biocolloids fate and transport in environmental systems, network biomet",apollo.io,1,0,0,1,0.2,72,65,0,0,0,0,0
blackrock,blackrock.com,1,1,1,2,2,48,5,121,1816,1,15.00826446,1
bloomberg lp,bloomberg.com,1,1,1,1,1,18,5,4,1816,1,454,1
bmo financial group,bmo.com,1,1,1,1,1,46,14,367,1307,1,3.561307902,1
"""cecaci"" centro de capacitacion comercial e industrial",https://mx.linkedin.com,2,1,0.1666666667,2,0.3333333333,47,47,85,493,1,5.8,0
3m health care,https://www.3mindia.in,2,1,0.3333333333,0,0,14,21,85,0,1,0,1
abb,https://new.abb.com,2,1,1,2,2,55,16,203,1650,1,8.128078818,1
abbott,https://www.abbott.co.in,2,2,2,2,2,54,18,28,368,1,13.14285714,1
abbvie,https://www.linkedin.com,2,1,1,1,1,13,22,85,506,1,5.952941176,0
abn amro bank n.v.,https://www.abnamro.com,2,0,0,1,1,13,20,,0,1,0,1
absa,https://www.absabank.co.ke,2,1,1,2,2,20,22,44,322,1,7.318181818,1
accenture,https://www.accenture.com,2,1,1,1,1,23,16,117,4,1,0.03418803419,1
accenture in india,https://www.accenture.com,2,1,1,1,1,10,21,117,4,1,0.03418803419,1
accorhotels,https://group.accor.com,2,0,0,0,0,38,20,222,2231,0,10.04954955,1
adecco,https://www.adecco.co.in,2,0,0,1,1,7,18,36,651,1,18.08333333,1
adecco group,https://www.adecco.com,2,0,0,0,0,9,17,62,121,0,1.951612903,1
adidas,https://www.adidas.com,2,2,2,3,3,29,16,4,0,1,0,1
adobe,https://adobeacrobat.app.link,2,1,1,1,1,44,24,38,2021,1,53.18421053,1
adp,https://www.linkedin.com,2,1,1,2,2,13,23,85,506,1,5.952941176,0
advocare,https://en.wikipedia.org,2,1,1,1,1,14,22,269,1377,1,5.118959108,0
aecom,https://en.wikipedia.org,2,1,1,3,3,16,22,269,1377,1,5.118959108,0
aerotek,https://www.aerotek.com,2,1,1,1,1,47,16,67,350,1,5.223880597,1
aetna,https://www.aetnainternational.com,2,1,1,0,0,48,29,91,1741,1,19.13186813,1
aflac,https://en.wikipedia.org,2,1,1,1,1,13,23,269,1377,1,5.118959108,0
agilent technologies,https://www.agilent.com,2,0,0,0,0,17,22,26,370,0,14.23076923,1
aig,https://www.aig.com,2,1,1,2,2,14,16,36,570,1,15.83333333,1
aim,https://www.merriam-webster.com,2,1,1,3,3,40,29,129,789,1,6.11627907,1
air france,htpps://wwws.airfrance.us,2,1,0.5,2,1,56,17,0,0,1,0,1
air liquide,https://www.airliquide.com,2,1,0.5,1,0.5,43,17,267,2496,1,9.348314607,1
airbus,https://www.airbus.com,2,1,1,1,1,15,16,422,1635,1,3.874407583,1
airtel,https://www.bd.airtel.com,2,1,1,1,1,1,19,3,58,1,19.33333333,1
aker solutions,https://www.linkedin.com,2,1,0.5,1,0.5,13,22,85,506,1,5.952941176,0
akzonobel,https://www.akzonobel.com,2,1,1,0,0,14,16,44,562,1,12.77272727,1
alberta health services,https://myhealth.alberta.ca,2,0,0,1,1,35,19,0,336,1,0,1
"alcon, a novartis company",https://en.wikipedia.org,2,0,0,0,0,17,23,269,194,0,0.7211895911,0
allergan,https://en.wikipedia.org,2,1,1,2,2,13,22,269,1377,1,5.118959108,0
allianz,https://www.allianz.com,2,1,1,2,2,12,16,129,904,1,7.007751938,1
allstate,https://en.wikipedia.org,2,1,,1,1,13,22,269,1377,1,5.118959108,0
alstom,https://en.wikipedia.org,2,1,1,1,1,13,22,69,1377,1,19.95652174,0
altran,https://www.linkedin.com,2,1,1,1,1,12,22,85,506,1,5.952941176,0
amazon,https://www.amazon.com,2,2,2,3,3,19,16,2,54,1,27,1
amazon web services,https://en.wikipedia.org,2,1,0.3333333333,2,0.3333333333,15,21,269,1377,1,5.118959108,0
amdocs,https://www.linkedin.com,2,1,1,2,2,12,22,85,506,1,5.952941176,0
american airlines,https://www.americanairlines.ie,2,1,0.5,1,0.5,41,16,61,0,1,0,1
american center of krasnodar,https://www.facebook.com,2,1,0.33,2,0.6666666667,30,26,0,48,1,0,0
american express,https://hi.wikipedia.org,2,0,,0,0,29,22,269,837,0,3.111524164,0
american family insurance,https://www.linkedin.com,2,1,0.33,1,0.33,14,22,85,506,1,5.952941176,0
american red cross,https://www.redcrossblood.org,2,0,0,0,0,50,22,71,612,0,8.61971831,1
"ameriprise financial services, inc.",https://www.ameripriseadvisors.com,2,0,0,0,0,46,29,6,586,0,97.66666667,1
amgen,https://en.wikipedia.org,2,1,1,1,1,13,22,269,1377,1,5.118959108,0
amway,https://www.amwayglobal.com,2,1,1,1,1,54,22,112,930,1,8.303571429,1
anheuser-busch inbev,https://en.wikipedia.org,2,0,0,1,1,19,22,269,1377,1,5.118959108,0
"anthem, inc.",https://en.wikipedia.org,2,1,0.5,1,0.5,21,20,269,1377,1,5.118959108,0
anz,https://www.anz.com.au,2,1,1,1,1,52,19,131,2407,1,18.3740458,1
aon,https://www.aon.com,2,1,1,3,3,7,16,31,593,1,19.12903226,1
apple,https://en.wikipedia.org,2,0,0,1,1,23,22,269,1377,1,5.118959108,0
applied materials,https://en.wikipedia.org,2,1,0.5,1,0.5,14,19,269,1377,1,5.118959108,0
aramark,https://en.wikipedia.org,2,1,1,2,2,13,22,269,1377,1,5.118959108,0
arbonne international llc,https://en.wikipedia.org,2,1,1,0,0,13,23,269,1377,1,5.118959108,0
arcadis,https://careers.arcadis.com,2,2,2,1,1,39,20,10,541,1,54.1,1
arcelormittal,https://en.wikipedia.org,2,0,0,0,0,27,21,269,1377,0,5.118959108,0
arizona state university,https://asuonline.asu.edu,2,1,0.33,1,0.33,16,23,98,2344,1,23.91836735,1
army national guard,https://en.wikipedia.org,2,1,0.33,1,0.33,15,21,269,1377,1,5.118959108,0
arup,https://www.arup.com,2,2,2,2,2,15,16,181,1220,1,6.740331492,1
asda,https://en.wikipedia.org,2,1,1,1,1,13,21,269,1377,1,5.118959108,0
astrazeneca,https://en.wikipedia.org,2,1,1,2,2,14,19,269,1377,1,5.118959108,0
at&t,https://www.att.com,2,1,1,3,3,52,17,33,968,1,29.33333333,1
atkins,http://www.atkins.com.hk,2,1,1,1,1,7,18,0,0,1,0,1
atlas copco,https://www.atlascopcogroup.com,2,1,1,1,1,34,21,254,1241,1,4.885826772,1
atos,https://atos.net,2,1,1,1,1,18,12,52,2019,1,38.82692308,1
auchan,https://www.auchan-retail.com,2,1,1,1,1,22,23,37,664,1,17.94594595,1
aucune,https://french.kwiziq.com,2,,,2,2,48,24,85,1037,1,12.2,1
aurora health care,https://www.linkedin.com,2,1,0.33,2,0.66,14,23,2,506,1,253,0
autônoma,https://www.amazon.in,2,1,1,1,1,52,18,85,0,1,0,0
autonomo,https://au.linkedin.com,2,1,1,0,0,13,19,98,506,1,5.163265306,0
aviva,https://www.aviva.com,2,2,2,0,0,29,16,252,1005,1,3.988095238,1
avon,https://www.avon.com,2,1,1,5,5,41,16,108,4,1,0.03703703704,1
axa,https://www.bharti-axalife.com,2,1,1,3,3,59,27,0,1886,1,0,1
axis bank,https://retail.axisbank.co.in,2,2,2,1,1,19,22,85,0,1,0,1
"ayatama energi, trisco nusantara",https://au.linkedin.com,2,1,0.5,3,1,40,28,269,506,1,1.881040892,0
bae systems,https://en.wikipedia.org,2,1,0.5,1,0.5,16,22,85,1377,1,16.2,0
baker hughes,https://www.linkedin.com,2,1,0.5,2,1,13,23,85,506,1,5.952941176,0
banco do brasil,https://www2.bancobrasil.com.br,2,1,0.5,1,0.33,7,24,0,83,1,0,1
banco santander,https://www.santander.cl,2,1,0.5,0,0,2,15,2,0,1,0,1
bank of america,https://hi.wikipedia.org,2,0,0,0,0,26,22,269,837,0,3.111524164,0
bank of america merrill lynch,https://www.bankofamerica.com,2,1,0.33,0,0,40,28,100,2143,1,21.43,1
banner health,https://en.wikipedia.org,2,1,0.5,1,0.5,14,21,269,1377,1,5.118959108,0
barclays,https://home.barclays,2,1,1,4,4,20,13,17,337,1,19.82352941,1
barclays investment bank,https://www.barclays.in,2,1,0.33,0,0,31,23,26,1060,1,40.76923077,1
basf,https://en.wikipedia.org,2,1,1,2,2,16,23,269,1377,1,5.118959108,0
baxter international inc.,https://www.linkedin.com,2,1,1,1,1,14,21,85,506,1,5.952941176,0
bayer,https://www.cropscience.bayer.com,2,1,1,1,1,14,28,168,3463,1,20.61309524,1
bayer healthcare,https://en.wikipedia.org,2,0,0,0,0,12,21,269,1377,0,5.118959108,0
bb&t,https://hi-in.facebook.com,2,1,1,0,0,30,25,34,6,1,0.1764705882,0
bbc,https://www.bbc.co.uk,2,1,1,2,2,10,18,90,934,1,10.37777778,1
bbva,https://www.bbva.es,2,1,1,3,3,35,15,84,1539,1,18.32142857,1
bd,https://www.bd.com,2,1,1,2,2,16,16,142,2829,1,19.92253521,1
bechtel corporation,https://en.wikipedia.org,2,0,0,1,1,12,21,269,1377,1,5.118959108,0
bell,https://www.bellhelmets.com,2,1,0.5,1,1,54,23,71,377,1,5.309859155,0
best buy,https://en.wikipedia.org,2,1,0.5,1,0.5,14,23,269,1377,1,5.118959108,0
bhp billiton,https://www.bhp.com,2,0,0,0,0,12,17,90,769,0,8.544444444,1
"biocolloids fate and transport in environmental systems, network biomet",https://rocketreach.com,2,1,1,1,1,62,61,0,0,1,0,0
blackrock,https://www.blackrock.com,2,1,1,3,3,12,16,121,2327,1,19.23140496,1
"""cecaci"" centro de capacitacion comercial e industrial",https://www.ampliz.com,3,0,0,0,0,46,48,48,898,0,18.70833333,0
3m health care,https://www.3mindia.in,3,1,0.33,2,0.66,44,21,85,20,1,0.2352941176,1
abb,https://new.abb.com,3,1,1,1,1,54,16,203,1650,1,8.128078818,1
abbott,https://www.abbott.in,3,1,1,1,1,13,15,59,809,1,13.71186441,1
abbvie,https://en.wikipedia.org,3,1,1,1,1,14,22,272,1377,1,5.0625,0
abn amro bank n.v.,https://hi.wikipedia.org,3,0,0,0,0,21,22,747,837,0,1.120481928,0
absa,https://www.absa.africa,3,1,1,1,1,38,19,69,739,1,10.71014493,1
accenture,https://en.wikipedia.org,3,1,1,1,1,13,21,272,1377,1,5.0625,0
accenture in india,https://www.accenture.com,3,0,0,0,0,37,21,117,4,0,0.03418803419,1
accorhotels,https://en.wikipedia.org,3,1,1,1,1,12,23,272,1377,1,5.0625,0
adecco,https://www.adeccogroup.com,3,1,1,1,1,17,21,35,435,1,12.42857143,1
adecco group,https://www.adecco.co.in,3,0,0,1,0.5,6,18,36,651,1,18.08333333,1
adidas,https://www.adidas.com,3,1,1,1,1,35,16,4,194,1,48.5,1
adobe,https://en.wikipedia.org,3,1,1,4,4,18,22,272,1377,1,5.0625,0
adp,https://en.wikipedia.org,3,1,1,1,1,23,23,272,1377,1,5.0625,0
advocare,https://www.facebook.com,3,1,1,2,2,20,22,0,48,1,0,0
aecom,https://aecom.jobs,3,1,1,1,1,9,13,222,1120,1,5.045045045,1
aerotek,https://www.linkedin.com,3,1,1,1,1,12,23,108,506,1,4.685185185,0
aetna,https://en.wikipedia.org,3,1,1,1,1,13,21,272,1377,1,5.0625,0
aflac,https://www.linkedin.com,3,1,1,2,2,12,22,108,506,1,4.685185185,0
agilent technologies,https://www.agilent.com,3,0,0,2,1,18,22,26,370,1,14.23076923,1
aig,https://en.wikipedia.org,3,0,0,2,2,38,22,272,1377,1,5.0625,0
aim,https://www.collinsdictionary.com,3,1,1,0,0,28,31,101,1142,1,11.30693069,0
air france,https://wwws.airfrance.in,3,1,1,0,0,58,17,47,21,1,0.4468085106,1
air liquide,https://www.airliquide.com,3,1,0.5,1,0.5,11,17,264,2496,1,9.454545455,1
airbus,https://www.airbus.com,3,1,1,1,1,22,16,421,1636,1,3.885985748,1
airtel,https://www.airtel.com,3,1,1,1,1,16,16,9,81,1,9,1
aker solutions,https://en.wikipedia.org,3,1,0.5,1,1,14,21,272,1377,1,5.0625,0
akzonobel,https://akzonobel.co.in,3,1,1,1,1,8,14,57,627,1,11,1
alberta health services,https://myhealth.alberta.ca,3,0,0,0,0,30,19,0,336,0,0,0
"alcon, a novartis company",https://www.fiercepharma.com,3,1,1,1,1,49,26,26,133,1,5.115384615,0
allergan,https://ie.linkedin.com,3,1,1,1,1,12,21,108,506,1,4.685185185,0
allianz,https://en.wikipedia.org,3,1,1,1,1,13,22,272,1377,1,5.0625,0
allstate,https://www.allstatenewsroom.com,3,2,2,1,1,48,24,58,666,1,11.48275862,1
alstom,https://www.linkedin.com,3,1,1,2,2,12,21,108,506,1,4.685185185,0
altran,https://en.wikipedia.org,3,0,0,0,0,30,22,272,1377,0,5.0625,0
amazon,https://www.primevideo.com,3,0,0,1,1,20,24,11,70,1,6.363636364,1
amazon web services,https://www.linkedin.com,3,1,0.33,3,1,20,21,108,506,1,4.685185185,0
amdocs,https://en.wikipedia.org,3,1,1,1,1,13,22,272,1377,1,5.0625,0
american airlines,https://en.wikipedia.org,3,1,0.5,3,1.5,14,21,272,1377,1,5.0625,0
american center of krasnodar,https://krasnodarexpats.tripod.com,3,1,0.25,2,0.6666666667,41,30,44,626,1,14.22727273,1
american express,https://en.wikipedia.org,3,1,1,1,1,14,22,272,1377,1,5.0625,0
american family insurance,https://www.facebook.com,3,1,0.33,2,0.66,28,25,0,48,1,0,0
american red cross,https://en.wikipedia.org,3,1,0.33,2,0.66,15,20,272,1377,1,5.0625,0
"ameriprise financial services, inc.",https://en.wikipedia.org,3,0,0,1,0.33,14,29,272,1377,1,5.0625,0
amgen,https://www.linkedin.com,3,1,1,1,1,12,22,108,506,1,4.685185185,0
amway,https://hi.wikipedia.org,3,0,0,0,0,17,22,272,837,0,3.077205882,0
anheuser-busch inbev,https://be.linkedin.com,3,1,0.33,1,0.33,15,20,108,506,1,4.685185185,0
"anthem, inc.",https://www.linkedin.com,3,1,1,2,1,13,20,108,506,1,4.685185185,0
anz,https://en.wikipedia.org,3,0,0,1,1,49,23,272,1377,1,5.0625,0
aon,https://en.wikipedia.org,3,1,1,1,1,23,22,272,1377,1,5.0625,0
apple,https://en.wikipedia.org,3,1,1,1,1,18,22,272,1377,1,5.0625,0
applied materials,https://www.linkedin.com,3,1,0.5,2,1,13,21,108,506,1,4.685185185,0
aramark,https://www.linkedin.com,3,1,1,3,3,12,23,108,506,1,4.685185185,0
arbonne international llc,https://www.linkedin.com,3,0,0,0,0,16,24,108,506,0,4.685185185,0
arcadis,https://www.linkedin.com,3,1,1,1,1,12,22,108,506,1,4.685185185,0
arcelormittal,https://en.wikipedia.org,3,1,1,4,4,14,21,272,1377,1,5.0625,0
arizona state university,https://en.wikipedia.org,3,1,0.3,2,0.6666666667,15,24,272,1377,1,5.0625,0
army national guard,https://www.nationalguard.mil,3,0,0,1,0.3333333333,44,17,0,930,1,0,1
arup,https://en.wikipedia.org,3,1,1,2,2,19,23,272,1377,1,5.0625,0
asda,https://www.facebook.com,3,1,1,1,1,19,22,0,48,1,0,0
astrazeneca,https://www.who.int,3,1,1,1,1,43,18,231,704,1,3.047619048,0
at&t,https://uk.wikipedia.org,3,0,0,0,0,15,23,328,181,0,0.5518292683,0
atkins,https://www.atkins.com,3,1,1,1,1,45,16,1,176,1,176,1
atlas copco,https://www.atlascopcogroup.com,3,1,0.5,2,1,19,21,110,1241,1,11.28181818,1
atos,https://fr.linkedin.com,3,1,1,2,2,12,21,108,510,1,4.722222222,0
auchan,https://en.wikipedia.org,3,1,1,1,1,13,23,272,1377,1,5.0625,0
aucune,https://dictionary.reverso.net,3,1,1,1,1,53,27,110,431,1,3.918181818,0
aurora health care,https://www.advocateaurorahealth.org,3,0,0.3333333333,0,0,14,25,80,580,0,7.25,1
autônoma,https://www.amazon.com,3,1,1,1,1,42,19,2,54,1,27,1
autonomo,https://www.autonomo.net.au,3,1,1,0,0,46,19,7,485,1,69.28571429,1
aviva,https://en.wikipedia.org,3,1,1,1,1,13,22,272,1377,1,5.0625,0
avon,https://en.wikipedia.org,3,1,1,3,3,22,22,272,1377,1,5.0625,0
axa,https://www.bharti-axagi.co.in,3,1,1,1,1,58,27,89,1439,1,16.16853933,1
axis bank,https://hi-in.facebook.com,3,1,0.5,1,0.5,29,23,34,6,1,0.1764705882,0
"ayatama energi, trisco nusantara",https://www.linkedin.com,3,1,0.3,2,0.66,44,29,108,506,1,4.685185185,0
bae systems,https://en.wikipedia.org,3,1,0.5,2,0.66,21,22,272,1377,1,5.0625,0
baker hughes,https://en.wikipedia.org,3,1,0.5,1,0.5,14,22,272,1377,1,5.0625,0
banco do brasil,https://www.facebook.com,3,1,0.3,1,0.3,27,23,0,48,1,0,0
banco santander,https://banco.santander.cl,3,1,0.5,1,0.3,34,12,2,4,1,2,1
bank of america,https://en.wikipedia.org,3,1,0.3,1,0.3,14,22,272,1377,1,5.0625,0
bank of america merrill lynch,https://www.ml.com,3,0,0,0,0,37,27,51,858,0,16.82352941,1
banner health,https://www.linkedin.com,3,1,0.5,2,0.5,13,23,108,506,1,4.685185185,0
barclays,https://www.barclays.in,3,1,1,3,3,52,15,26,1060,1,40.76923077,1
barclays investment bank,https://www.barclays.in,3,0,0,0,0,38,23,26,1060,0,40.76923077,1
basf,https://www.linkedin.com,3,1,1,1,1,15,23,108,506,1,4.685185185,0
baxter international inc.,https://en.wikipedia.org,3,0,0,1,0.3,12,22,272,1377,1,5.0625,0
bayer,https://www.bayer.in,3,1,1,2,2,23,15,130,1249,1,9.607692308,1
bayer healthcare,https://www.bayer.in,3,0,0,0,0,21,18,130,1249,0,9.607692308,1
bb&t,https://www.facebook.com,3,1,1,2,2,30,23,0,48,1,0,0
bbc,https://www.bbc.co.uk,3,1,1,2,2,15,18,90,934,1,10.37777778,1
bbva,https://www.bbva.es,3,0,0,0,0,38,15,84,1539,0,18.32142857,1
bd,https://www.linkedin.com,3,1,1,3,3,12,23,108,506,1,4.685185185,0
bechtel corporation,https://www.linkedin.com,3,1,0.5,0,0,13,22,108,506,1,4.685185185,0
bell,https://www.bellflight.com,3,1,1,0,0,35,22,37,367,1,9.918918919,1
best buy,https://www.facebook.com,3,1,0.5,1,0.5,29,22,0,48,1,0,0
bhp billiton,https://en.wikipedia.org,3,0,0,2,1,13,20,272,1377,1,5.0625,0
"biocolloids fate and transport in environmental systems, network biomet",https://gr.linkedin.com,3,0,0,2,0.5,63,61,108,506,1,4.685185185,0
blackrock,https://en.wikipedia.org,3,1,1,1,1,14,22,272,1377,1,5.0625,0
3M,https://www.3mindia.in,4,2,2,3,3,37,21,85,21,1,0.2470588235,1
ABB,https://www.linkedin.com,4,0,0,1,1,27,24,108,506,1,4.685185185,0
Abbott,https://abbottnutrition.com,4,1,1,1,1,54,22,37,340,1,9.189189189,1
AbbVie,https://www.facebook.com,4,0,0,2,2,9,23,0,48,1,0,0
ABN AMRO Bank N.V.,https://en.wikipedia.org,4,0,0,2,0.6666666667,30,22,255,1216,1,4.768627451,0
Absa,https://www.absa.co.zm,4,1,1,2,2,19,19,41,312,1,7.609756098,1
Accenture,https://in.linkedin.com,4,0,0,1,1,20,21,108,506,1,4.685185185,0
Accenture in India,https://in.linkedin.com,4,0,0,1,0.33,26,20,108,506,1,4.685185185,0
AccorHotels,https://www.facebook.com,4,0,0,1,1,9,22,0,48,1,0,0
Adecco,https://www.linkedin.com,4,0,0,1,1,25,21,108,506,1,4.685185185,0
ADIDAS,https://www.myntra.com,4,0,0,3,3,22,22,369,20,1,0.05420054201,0
Adobe,https://play.google.com,4,0,0,1,1,21,21,0,14303,1,0,0
ADP,https://adpemploymentreport.com,4,1,1,1,1,26,31,30,905,1,30.16666667,1
Advocare,https://www.advocaredoctors.com,4,1,1,1,1,15,24,37,644,1,17.40540541,1
AECOM,https://www.linkedin.com,4,0,0,1,1,27,24,108,506,1,4.685185185,0
Aerotek,https://www.facebook.com,4,0,0,2,2,8,22,0,48,1,0,0
Aetna,https://www.linkedin.com,4,0,0,2,2,25,22,108,506,1,4.685185185,0
Aflac,https://www.aflacgroupinsurance.com,4,1,1,1,1,49,31,10,314,1,31.4,1
